X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION
-104.7835824,38.74028446,682,Fort Carson,Census Designated Place,CO,8,827370, ,6,13891
-105.0740423,40.57676041,683,Fort Collins,city,CO,8,827425, ,8,163076
-103.7883961,40.25597056,684,Fort Morgan,city,CO,8,827810, ,6,11367
-104.7062675,38.68260651,685,Fountain,city,CO,8,827865, ,6,29715
-108.7285853,39.15420015,686,Fruita,city,CO,8,828745, ,6,13032
-105.2143018,39.73794555,687,Golden,city,CO,8,830835, ,6,21048
-108.5662584,39.08766368,688,Grand Junction,city,CO,8,831660, ,7,62539
-104.6961201,40.42135882,689,Greeley,city,CO,8,832155, ,8,105825
-104.914155,39.61682614,690,Greenwood Village,city,CO,8,833035, ,6,15346
-104.9707786,39.54193204,691,Highlands Ranch,Census Designated Place,CO,8,836410, ,8,107059
-104.9074165,40.33399842,692,Johnstown,town,CO,8,839855, ,6,14423
-105.1654478,39.58422926,693,Ken Caryl,Census Designated Place,CO,8,840377, ,6,34430
-105.0992174,39.99430815,694,Lafayette,city,CO,8,841835, ,6,28650
-105.0897243,39.70421139,695,Lakewood,city,CO,8,843000, ,8,154773
-105.0152157,39.59360421,696,Littleton,city,CO,8,845255, ,6,45068
-104.8783438,39.55363439,697,Lone Tree,city,CO,8,845955, ,6,13787
-105.1007559,40.16872818,698,Longmont,city,CO,8,845970, ,7,95734
-105.144018,39.97097817,699,Louisville,city,CO,8,846355, ,6,20570
-105.0752737,40.39419898,700,Loveland,city,CO,8,846465, ,7,75905
-107.858199,38.47317446,701,Montrose,city,CO,8,851745, ,6,19488
-104.9801708,39.89967353,702,Northglenn,city,CO,8,854330, ,6,38687
-104.7550819,39.51406091,703,Parker,town,CO,8,857630, ,7,52017
-104.6055976,38.2674417,704,Pueblo,city,CO,8,862000, ,8,111034
-104.7265608,38.35508746,705,Pueblo West,Census Designated Place,CO,8,862220, ,6,31042
-104.7136773,38.74919255,706,Security-Widefield,Census Designated Place,CO,8,868847, ,6,37088
-105.001365,39.83894148,707,Sherrelwood,Census Designated Place,CO,8,869810, ,6,19523
-106.8232843,40.47740573,708,Steamboat Springs,city,CO,8,873825, ,6,12873
-103.2123777,40.62800647,709,Sterling,city,CO,8,873935, ,6,14426
-105.1583268,39.93470661,710,Superior,town,CO,8,875640, ,6,13189
-104.7329504,39.45105273,711,The Pinery,Census Designated Place,CO,8,877235, ,6,11779
-104.9844226,39.86969849,712,Thornton,city,CO,8,877290, ,8,134889
-104.965456,39.84026708,713,Welby,Census Designated Place,CO,8,883120, ,6,16090
-105.0628372,39.88302471,714,Westminster,city,CO,8,883835, ,8,115732
-105.1031689,39.77277254,715,Wheat Ridge,city,CO,8,884440, ,6,31965
-104.901657,40.4771895,716,Windsor,town,CO,8,885485, ,6,24451
-73.06892612,41.34424748,717,Ansonia,city,CT,9,901150, ,6,19568
-73.19897,41.19360279,718,Bridgeport,city,CT,9,908000, ,8,150782
-72.94069633,41.6811556,719,Bristol,city,CT,9,908420, ,7,60492
-73.47100889,41.40156599,720,Danbury,city,CT,9,918430, ,7,84789
-73.48260762,41.08097227,721,Darien,Census Designated Place,CT,9,918920, ,6,21760
-73.08335195,41.32680551,722,Derby,city,CT,9,919480, ,6,13207
-72.61522355,41.76344304,723,East Hartford,Census Designated Place,CT,9,922700, ,7,51360
-72.87045097,41.27837791,724,East Haven,Census Designated Place,CT,9,922980, ,6,29202
-73.63780151,41.0631492,725,Greenwich,Census Designated Place,CT,9,933690, ,6,13412
-72.68339843,41.76606727,726,Hartford,city,CT,9,937000,State,8,127085
-72.5191922,41.78013918,727,Manchester,Census Designated Place,CT,9,944690, ,6,30953
-72.7943441,41.53673234,728,Meriden,city,CT,9,946450, ,7,61407
-72.651943,41.53554697,729,Middletown,city,CT,9,947290, ,6,47885
-73.08181,41.23370327,730,Milford,city,CT,9,947515, ,7,52256
-73.05191821,41.48902738,731,Naugatuck,borough,CT,9,949880, ,6,32460
-72.78622907,41.67580843,732,New Britain,city,CT,9,950370, ,7,74539
-72.94565412,41.31742237,733,New Haven,city,CT,9,952000, ,8,132866
-72.73083762,41.68700309,734,Newington,Census Designated Place,CT,9,952210, ,6,31179
-72.10820889,41.35552824,735,New London,city,CT,9,952280, ,6,27906
-72.85710459,41.38195064,736,North Haven,Census Designated Place,CT,9,954940, ,6,24707
-73.4066847,41.1128089,737,Norwalk,city,CT,9,955990, ,7,91230
-72.08835989,41.55020508,738,Norwich,city,CT,9,956200, ,6,40423
-73.00079294,41.26802377,739,Orange,Census Designated Place,CT,9,957670, ,6,14022
-73.11040215,41.32356941,740,Shelton,city,CT,9,968100, ,6,42076
-73.54205042,41.05238167,741,Stamford,city,CT,9,973000, ,8,133021
-72.25514738,41.80451664,742,Storrs,Census Designated Place,CT,9,973980, ,6,15569
-73.13111634,41.20899969,743,Stratford,Census Designated Place,CT,9,974260, ,7,53195
-73.08847227,41.80422139,744,Torrington,city,CT,9,976500, ,6,35352
-73.20836499,41.26024377,745,Trumbull,Census Designated Place,CT,9,977270, ,6,36827
-72.81885876,41.44991612,746,Wallingford Center,Census Designated Place,CT,9,978880, ,6,18424
-73.03613321,41.55823912,747,Waterbury,city,CT,9,980000, ,8,110796
-72.7535388,41.76693566,748,West Hartford,Census Designated Place,CT,9,982660, ,7,64072
-72.96703054,41.27380791,749,West Haven,city,CT,9,982800, ,7,56489
-73.34616207,41.14543562,750,Westport,Census Designated Place,CT,9,983570, ,6,27866
-72.67034095,41.7013109,751,Wethersfield,Census Designated Place,CT,9,984970, ,6,26911
-72.21732866,41.71528098,752,Willimantic,Census Designated Place,CT,9,985810, ,6,17919
-72.65439158,41.92671639,753,Windsor Locks,Census Designated Place,CT,9,987140, ,6,12365
-75.68029721,39.61877529,754,Bear,Census Designated Place,DE,10,1004130, ,6,20731
-75.71528107,39.66664299,755,Brookside,Census Designated Place,DE,10,1009850, ,6,14801
-75.52118763,39.16073262,756,Dover,city,DE,10,1021200,State,6,38353
-75.7626165,39.59991544,757,Glasgow,Census Designated Place,DE,10,1029350, ,6,14802
-75.68156717,39.7837562,758,Hockessin,Census Designated Place,DE,10,1035850, ,6,14181
-75.71659596,39.44516471,759,Middletown,town,DE,10,1047030, ,6,21456
-75.7561815,39.6723291,760,Newark,city,DE,10,1050670, ,6,33231
-75.6992579,39.72958235,761,Pike Creek Valley,Census Designated Place,DE,10,1056500, ,6,11527
-75.60548,39.27180748,762,Smyrna,town,DE,10,1067310, ,6,12411
-75.54522697,39.74721181,763,Wilmington,city,DE,10,1077580, ,7,73672
-77.02764473,38.88926886,764,Washington,city,DC,11,1150000,National,9,674875
-81.1763285,28.53056944,765,Alafaya,Census Designated Place,FL,12,1200410, ,7,89131
-81.35901442,28.66711565,766,Altamonte Springs,city,FL,12,1200950, ,6,44585
-82.371665,27.77044179,767,Apollo Beach,Census Designated Place,FL,12,1201675, ,6,20149
-81.50732601,28.67357724,768,Apopka,city,FL,12,1201700, ,7,51375
-81.41492178,30.3324779,769,Atlantic Beach,city,FL,12,1202400, ,6,13475
-81.7945185,28.07597133,770,Auburndale,city,FL,12,1202550, ,6,15061
-80.13810454,25.95934431,771,Aventura,city,FL,12,1202681, ,6,39809
-81.29572929,28.54680085,772,Azalea Park,Census Designated Place,FL,12,1202850, ,6,14233
-81.83499335,27.89578597,773,Bartow,city,FL,12,1203675, ,6,19653
-82.68341786,28.32545109,774,Bayonet Point,Census Designated Place,FL,12,1204162, ,6,25087
-82.576725,27.43951383,775,Bayshore Gardens,Census Designated Place,FL,12,1204350, ,6,17814
-81.7377535,30.17966199,776,Bellair-Meadowbrook Terrace,Census Designated Place,FL,12,1205025, ,6,13621
-80.66801889,26.68559931,777,Belle Glade,city,FL,12,1205200, ,6,18088
-87.31202213,30.46202501,778,Bellview,Census Designated Place,FL,12,1205462, ,6,24231
-82.26239081,27.87839427,779,Bloomingdale,Census Designated Place,FL,12,1206875, ,6,24100
-80.08967909,26.35208779,780,Boca Raton,city,FL,12,1207300, ,7,91414
-81.79760138,26.33348262,781,Bonita Springs,city,FL,12,1207525, ,7,52075
-80.06552363,26.52877519,782,Boynton Beach,city,FL,12,1207875, ,7,75782
-82.58868294,27.48403927,783,Bradenton,city,FL,12,1207950, ,7,55468
-82.29998699,27.93673926,784,Brandon,Census Designated Place,FL,12,1208150, ,8,113677
-87.24959796,30.47283618,785,Brent,Census Designated Place,FL,12,1208300, ,6,23267
-80.24175688,25.82161139,786,Brownsville,Census Designated Place,FL,12,1209000, ,6,16721
-81.35389113,28.33491905,787,Buenaventura Lakes,Census Designated Place,FL,12,1209415, ,6,31268
-85.58094548,30.14231098,788,Callaway,city,FL,12,1209725, ,6,14929
-80.60510843,28.39332622,789,Cape Canaveral,city,FL,12,1210250, ,6,10368
-81.95656196,26.63061627,790,Cape Coral,city,FL,12,1210275, ,8,177217
-82.51484337,28.05767269,791,Carrollwood,Census Designated Place,FL,12,1210825, ,6,35124
-81.32163494,28.66185077,792,Casselberry,city,FL,12,1211050, ,6,27413
-82.5184628,28.14592313,793,Cheval,Census Designated Place,FL,12,1211912, ,6,11355
-82.562212,28.05912952,794,Citrus Park,Census Designated Place,FL,12,1212425, ,6,27174
-82.7987521,27.96619069,795,Clearwater,city,FL,12,1212875, ,8,114858
-81.7606115,28.55265528,796,Clermont,city,FL,12,1212925, ,6,35717
-80.72596009,28.34971115,797,Cocoa,city,FL,12,1213150, ,6,18291
-80.63568338,28.31665892,798,Cocoa Beach,city,FL,12,1213175, ,6,11998
-80.18415321,26.28051579,799,Coconut Creek,city,FL,12,1213275, ,7,58315
-81.33160064,28.49683976,800,Conway,Census Designated Place,FL,12,1214050, ,6,14421
-86.81782028,33.24449771,801,Alabaster,city,AL,1,100820, ,6,32725
-86.21204768,34.26420844,802,Albertville,city,AL,1,100988, ,6,21752
-85.95631375,32.94309415,803,Alexander City,city,AL,1,101132, ,6,14364
-85.81985578,33.65650068,804,Anniston,city,AL,1,101852, ,6,22023
-86.95079503,34.78483769,805,Athens,city,AL,1,102956, ,6,23285
-87.49009397,31.02225915,806,Atmore,city,AL,1,103004, ,6,10265
-85.48998923,32.60690652,807,Auburn,city,AL,1,103076, ,7,63714
-86.95629748,33.40091846,808,Bessemer,city,AL,1,105980, ,6,28149
-86.79647401,33.52880084,809,Birmingham,city,AL,1,107000, ,8,214517
-86.74549128,33.12440283,810,Calera,city,AL,1,111416, ,6,13328
-86.6835185,33.64308883,811,Center Point,city,AL,1,113264, ,6,16939
-86.62991075,33.34338269,812,Chelsea,city,AL,1,114104, ,6,11839
-86.84323,34.16090413,813,Cullman,city,AL,1,118976, ,6,15343
-87.9004015,30.62005239,814,Daphne,city,AL,1,119648, ,6,25458
-86.98152827,34.60362365,815,Decatur,city,AL,1,120104, ,7,55672
-85.40705829,31.23349546,816,Dothan,city,AL,1,121184, ,7,68019
-85.84590772,31.32760085,817,Enterprise,city,AL,1,124184, ,6,28271
-85.15049713,31.9102409,818,Eufaula,city,AL,1,124568, ,6,13144
-86.91933864,33.47469582,819,Fairfield,city,AL,1,125120, ,6,11200
-87.902957,30.52425307,820,Fairhope,city,AL,1,125240, ,6,16937
-87.67092461,34.80070195,821,Florence,city,AL,1,126896, ,6,39588
-87.66341234,30.3988863,822,Foley,city,AL,1,126992, ,6,17655
-85.69536961,34.45594374,823,Fort Payne,city,AL,1,127616, ,6,14057
-86.01536374,34.00872578,824,Gadsden,city,AL,1,128696, ,6,35850
-86.8105255,33.65622737,825,Gardendale,city,AL,1,129056, ,6,14267
-87.66474525,30.26439027,826,Gulf Shores,city,AL,1,132272, ,6,12586
-86.93967722,34.43926592,827,Hartselle,city,AL,1,133448, ,6,14389
-86.84955225,33.28917143,828,Helena,city,AL,1,134024, ,6,18877
-86.80919035,33.46168626,829,Homewood,city,AL,1,135800, ,6,26314
-86.80424998,33.38750872,830,Hoover,city,AL,1,135896, ,7,88111
-86.99546241,33.44194144,831,Hueytown,city,AL,1,136448, ,6,16069
-86.58347818,34.72764295,832,Huntsville,city,AL,1,137000, ,8,197899
-86.70535967,33.53715313,833,Irondale,city,AL,1,137864, ,6,12410
-85.75416473,33.8085527,834,Jacksonville,city,AL,1,138272, ,6,12904
-87.2829355,33.83655111,835,Jasper,city,AL,1,138416, ,6,14071
-86.56390624,33.54222406,836,Leeds,city,AL,1,141968, ,6,12393
-86.74233525,34.71457434,837,Madison,city,AL,1,145784, ,6,47725
-86.36564036,32.48474887,838,Millbrook,city,AL,1,148712, ,6,15716
-88.05143433,30.68527017,839,Mobile,city,AL,1,150000, ,8,197574
-86.30336322,32.37789746,840,Montgomery,city,AL,1,151000,State,8,207513
-86.49720576,33.59798067,841,Moody,city,AL,1,151096, ,6,12155
